labels,predictions
130,130
68,68
115,115
153,153
134,134
64,64
37,37
137,137
173,173
27,27
174,174
160,160
46,46
170,170
17,16
112,137
98,172
137,137
173,173
27,27
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
112,137
143,143
120,120
105,120
91,136
25,25
103,103
130,130
68,68
115,115
153,153
132,132
5,5
9,132
10,185
187,187
159,127
39,39
137,137
173,173
27,167
174,0
172,172
171,170
134,134
64,64
37,37
136,136
147,147
38,130
108,108
106,147
130,130
68,68
115,115
136,136
147,147
34,34
127,127
38,38
200,200
137,137
173,173
27,27
174,174
172,172
160,46
46,195
58,58
195,195
170,170
171,171
17,17
112,112
143,143
120,120
105,105
136,136
147,147
34,34
16,16
127,127
38,38
177,177
130,130
68,68
115,115
153,153
132,132
5,5
190,190
79,79
164,164
66,66
148,148
21,135
132,132
5,72
190,191
164,164
72,10
136,136
147,147
38,38
200,200
175,58
40,40
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
137,137
173,173
27,37
174,174
172,172
160,46
46,160
58,55
195,46
120,120
105,120
110,110
67,67
74,74
136,136
147,147
34,34
127,127
122,34
136,136
147,147
38,38
108,108
106,147
135,132
80,79
192,190
136,136
147,147
34,34
16,16
127,127
130,130
68,68
115,115
153,153
136,136
147,147
34,34
16,16
84,85
91,24
25,37
55,52
52,55
129,24
167,37
117,24
134,134
64,64
37,37
132,132
5,5
190,190
15,15
176,177
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,34
16,15
84,84
131,136
4,4
189,164
78,78
138,138
8,5
193,190
184,184
82,79
165,164
91,129
55,52
52,52
129,117
117,117
130,130
68,68
115,115
153,153
91,132
25,25
55,52
52,52
129,117
167,25
117,117
136,136
147,147
34,34
16,16
127,127
177,177
136,136
147,147
34,34
38,38
86,151
136,136
147,147
34,34
38,127
84,85
136,136
147,147
34,34
16,17
126,177
134,134
64,64
37,37
136,136
147,147
34,34
16,16
127,87
137,137
173,173
27,27
174,174
172,172
160,160
46,195
58,58
195,195
170,170
112,112
143,143
136,136
147,147
34,34
16,16
127,127
91,200
55,58
52,58
41,169
136,136
147,147
34,34
16,16
127,127
130,130
68,68
115,115
153,153
134,134
64,64
37,34
91,91
25,37
55,52
52,52
129,117
167,37
117,117
136,136
147,147
34,166
16,17
38,170
96,182
136,136
147,147
34,37
16,16
127,127
91,129
25,25
55,55
52,52
129,129
167,167
117,129
136,136
147,147
34,34
127,34
108,108
136,136
147,147
34,34
16,17
127,190
177,177
85,84
132,34
5,5
190,190
79,79
164,164
66,66
150,150
136,136
147,147
34,34
127,127
38,38
130,130
68,68
115,115
153,153
136,136
147,147
34,34
127,127
108,108
136,136
147,147
34,34
16,16
127,127
38,38
177,177
175,175
135,135
80,80
192,191
130,170
68,68
115,115
153,153
134,134
64,64
37,37
110,110
191,190
67,66
136,136
34,34
122,34
126,126
175,175
40,40
137,137
173,173
27,27
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
17,17
112,137
143,143
120,120
105,105
134,134
64,64
37,34
136,136
147,147
34,167
127,141
38,38
139,129
69,142
110,75
6,5
134,134
64,64
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
136,136
147,147
34,34
16,16
38,38
177,177
40,40
130,130
68,68
115,115
153,153
130,130
68,68
115,115
153,153
91,91
25,25
55,58
52,58
167,70
102,102
137,137
173,173
172,172
160,46
46,46
195,195
136,136
147,147
34,34
122,34
108,108
161,161
162,185
130,130
68,68
115,115
136,136
147,147
34,34
16,16
127,127
91,20
25,25
52,50
50,50
20,20
130,130
68,68
115,34
153,153
136,136
147,147
34,136
16,16
108,108
134,134
64,64
37,37
136,136
34,34
38,38
122,34
175,175
91,136
25,37
55,55
52,55
129,136
167,37
117,136
136,136
147,147
34,34
16,16
177,177
87,87
110,110
191,191
131,131
4,5
189,193
78,79
136,127
147,147
34,122
16,16
127,127
137,137
173,173
160,160
46,160
58,55
195,160
17,17
98,98
136,136
147,147
34,34
16,16
127,127
177,177
134,134
64,64
37,122
136,136
147,147
16,16
122,122
108,108
175,175
128,129
24,25
166,34
54,59
99,99
75,38
137,137
173,173
174,174
160,160
46,46
195,195
98,172
136,136
147,147
34,34
200,200
175,175
137,137
173,173
27,37
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
17,16
112,112
143,143
158,195
188,188
136,136
147,106
34,34
16,16
200,200
130,37
68,68
115,115
153,167
137,137
173,173
27,27
172,172
160,160
46,195
170,170
171,184
17,15
112,112
143,143
136,127
147,147
34,34
16,16
40,40
134,134
64,64
130,130
68,68
115,115
153,153
91,132
25,25
55,55
52,52
129,132
167,25
117,132
91,130
25,25
55,55
52,52
129,130
167,167
117,130
136,136
34,34
38,38
122,34
175,175
134,134
64,64
37,37
30,30
83,83
71,71
59,59
2,2
136,136
147,147
34,34
16,16
127,136
136,136
147,147
34,34
127,127
126,127
136,136
147,147
34,170
16,16
127,34
177,177
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,34
126,117
175,175
136,136
147,147
34,34
16,16
127,127
88,84
136,136
147,147
34,34
127,127
84,85
110,110
83,34
71,34
70,131
182,153
136,136
147,147
34,34
122,34
40,40
119,119
136,136
147,147
122,136
126,163
40,136
137,137
173,173
27,34
174,174
172,172
58,52
195,46
170,170
171,171
17,17
112,137
130,130
68,68
115,115
153,153
137,137
173,173
27,27
172,172
160,160
46,46
58,55
170,170
171,171
137,137
173,173
27,27
172,98
160,46
46,46
17,17
112,112
136,136
147,147
34,34
127,127
38,136
136,136
147,147
34,27
16,16
108,108
136,136
147,147
34,34
16,17
127,96
38,38
177,177
134,134
64,64
37,37
30,30
83,83
71,71
59,59
2,2
91,117
25,37
55,52
52,52
129,117
167,37
117,117
136,136
147,147
34,34
122,34
200,200
85,85
175,55
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,34
16,16
177,177
87,87
137,137
173,173
174,174
172,172
17,16
136,136
147,147
34,34
38,38
175,175
136,136
147,147
34,34
127,127
40,40
94,60
137,137
173,173
174,174
160,46
46,46
195,195
98,172
136,136
147,147
34,34
127,127
85,85
132,91
190,190
15,15
66,66
43,43
114,91
134,128
64,64
37,37
136,136
147,147
38,38
200,200
175,175
156,60
94,60
60,60
137,137
173,173
27,27
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
17,17
112,112
143,143
120,120
105,105
136,136
147,147
34,34
38,38
122,34
86,84
131,136
4,5
189,164
78,80
130,135
68,68
115,115
153,25
130,130
68,68
115,183
132,132
5,5
190,190
79,80
164,164
136,136
147,147
34,34
16,16
127,127
130,130
68,68
115,115
153,153
130,130
68,68
115,115
153,153
139,139
154,34
91,24
25,25
167,34
117,117
100,34
136,136
147,147
34,34
127,127
122,34
136,136
147,147
34,153
16,16
127,127
177,177
136,136
147,147
122,34
108,108
126,127
136,136
147,147
34,34
16,16
127,127
134,134
64,64
37,27
134,134
64,64
37,37
134,134
64,64
37,37
136,136
147,147
34,34
127,127
108,108
84,85
136,136
147,147
34,34
127,136
38,38
136,129
147,147
161,161
185,185
130,130
115,115
197,197
157,37
136,136
147,147
34,34
38,38
122,34
136,136
147,147
34,34
127,127
96,96
132,132
5,5
190,190
66,66
181,181
136,136
147,147
34,34
38,38
108,108
91,136
25,25
55,58
52,58
167,34
102,102
136,136
147,147
161,161
185,185
30,30
83,83
71,71
59,59
2,2
91,91
25,25
55,55
52,55
129,129
167,25
117,129
130,130
68,68
115,115
153,27
134,134
64,64
37,27
136,136
147,147
34,34
38,38
85,85
136,34
34,34
16,16
127,33
177,177
119,117
91,91
25,25
55,55
52,52
129,91
167,37
117,91
136,136
147,147
34,136
38,38
200,200
88,84
134,134
64,64
37,37
137,137
173,173
27,25
174,174
172,172
160,160
46,46
58,175
195,195
170,170
171,171
17,17
112,112
143,143
120,120
105,105
188,188
136,136
147,147
34,167
127,127
126,127
132,132
5,5
9,34
10,94
187,187
159,127
39,136
128,128
104,85
166,34
54,58
141,141
33,33
130,130
68,68
115,115
153,153
91,34
25,34
55,52
52,52
129,34
167,34
117,34
134,134
64,64
37,25
30,30
74,74
93,93
140,140
199,199
95,95
113,113
121,121
136,136
147,147
34,136
16,16
127,127
122,34
108,108
126,127
200,200
175,175
156,156
94,94
60,60
19,127
136,136
147,147
34,34
16,16
200,200
84,85
136,136
147,147
34,34
16,16
177,177
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,34
127,127
38,38
110,70
11,70
134,134
64,64
110,110
83,83
71,71
11,70
132,132
5,5
164,164
15,15
148,148
136,136
147,147
161,161
194,194
130,130
68,68
115,115
153,115
136,136
147,147
38,38
200,200
175,52
3,3
137,137
173,173
27,27
174,174
172,172
195,195
136,136
147,147
34,167
16,16
108,108
91,130
25,27
55,58
52,52
129,130
167,27
117,130
134,134
64,64
37,37
136,136
147,147
34,34
16,16
127,127
136,136
147,147
42,42
137,137
173,173
27,27
174,174
172,172
160,160
46,160
58,58
195,46
120,105
105,105
136,136
147,147
34,38
108,108
126,127
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
30,30
74,74
93,93
140,140
199,199
95,95
113,113
121,112
91,130
25,153
55,52
52,55
129,130
167,153
117,130
136,136
147,147
34,34
127,127
38,38
130,130
68,68
115,115
91,91
55,52
52,175
167,167
117,117
136,136
16,16
7,5
81,79
130,130
68,68
115,115
153,115
134,134
64,64
37,37
130,130
68,68
115,115
110,110
67,67
136,136
147,147
34,34
177,177
85,84
136,91
147,147
34,34
16,16
127,175
30,30
83,83
71,71
59,59
2,2
137,137
173,173
27,27
172,172
160,160
46,160
58,58
195,195
170,170
171,171
112,112
136,136
147,147
34,34
16,16
180,177
136,136
147,147
34,126
122,122
126,136
6,31
31,95
136,136
147,147
34,34
16,16
127,127
177,177
136,136
147,147
34,34
38,132
122,34
108,108
106,147
30,30
74,74
93,93
140,140
199,199
95,95
113,113
121,121
136,136
147,147
34,34
127,127
38,38
136,136
147,147
34,34
16,17
126,126
136,136
147,147
34,34
16,16
127,127
91,136
25,37
55,52
52,52
167,167
117,117
22,147
130,130
68,68
115,153
153,153
91,136
25,25
55,55
52,55
167,167
102,102
132,34
5,5
190,190
79,79
164,164
181,34
148,148
43,43
134,134
64,64
37,37
130,130
68,68
115,115
136,136
147,147
34,34
108,108
85,85
132,131
5,5
190,190
79,79
66,66
43,43
136,136
147,147
34,37
38,117
84,84
136,136
147,147
34,34
38,38
175,175
136,136
147,147
34,34
16,16
127,127
134,134
64,64
37,37
136,136
147,147
34,34
16,16
127,127
38,38
177,177
91,132
55,52
52,52
41,41
136,136
147,147
34,34
16,16
127,127
38,38
177,177
136,136
147,147
34,136
16,16
177,177
84,84
136,136
147,147
34,37
84,127
88,127
136,136
147,147
34,34
16,16
127,127
38,38
177,177
130,130
68,68
115,115
136,136
147,147
34,34
16,16
127,127
38,38
177,177
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
132,34
5,5
190,190
79,80
164,164
15,16
176,176
137,137
173,173
27,37
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
112,112
143,143
120,120
105,105
137,112
173,173
27,27
172,172
58,58
120,120
105,105
91,131
25,34
55,52
52,52
129,131
167,34
117,131
137,137
173,173
27,37
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
17,17
112,112
143,143
120,120
105,105
188,188
91,136
25,27
55,52
52,52
167,167
117,117
22,22
136,136
147,147
16,16
177,177
108,108
126,126
137,137
173,173
27,37
174,174
172,172
160,160
46,195
58,58
195,195
170,170
171,171
17,17
112,112
143,143
120,120
105,105
91,91
25,25
55,55
52,52
167,167
117,117
22,22
136,136
147,147
161,161
185,162
136,136
147,147
161,161
185,185
136,136
147,147
34,34
38,38
87,87
136,136
147,147
34,34
38,38
87,127
136,136
147,147
34,27
16,16
127,84
84,84
136,136
147,147
34,25
200,200
175,68
134,134
64,64
37,167
130,130
68,68
115,115
91,136
55,58
52,58
41,41
136,136
147,147
34,25
16,16
84,85
136,136
147,147
34,34
38,34
84,85
134,91
64,64
136,136
147,147
34,34
108,108
126,127
136,136
147,147
161,161
185,162
110,132
191,190
6,4
134,134
64,64
37,37
136,136
147,147
34,34
127,127
108,108
136,136
147,147
34,34
38,38
200,200
175,175
156,60
94,94
60,60
134,134
64,64
37,37
134,134
64,64
37,37
136,136
147,147
34,34
127,85
108,108
91,136
25,25
55,55
52,55
167,153
102,102
136,136
147,147
34,34
127,127
200,200
110,110
83,83
71,71
2,2
73,191
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
127,84
108,108
136,136
147,147
161,161
194,136
136,136
147,147
38,38
108,108
106,106
137,137
173,173
172,172
160,160
46,195
195,195
137,137
173,173
27,25
174,174
160,160
46,46
58,175
195,195
171,123
98,172
136,136
147,147
34,34
16,16
200,96
85,85
175,58
156,200
94,200
60,200
136,136
147,147
34,34
16,16
127,127
108,108
118,181
30,30
83,83
71,71
74,34
140,140
136,136
147,147
34,34
200,200
85,85
136,136
147,147
16,16
177,177
108,108
126,126
131,131
4,5
189,190
78,80
136,136
147,147
34,177
200,200
85,85
136,136
147,147
34,129
127,127
108,108
136,136
147,147
34,34
127,127
122,34
91,117
25,34
55,52
52,52
129,117
167,34
117,117
91,117
25,25
55,55
52,52
129,117
167,25
117,117
136,136
147,147
34,34
127,127
85,84
136,136
147,147
34,34
16,16
38,38
177,177
87,85
138,138
8,5
193,190
90,90
149,148
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
134,134
64,64
37,153
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,136
16,16
177,177
136,136
147,147
34,34
38,38
108,108
136,136
34,34
122,34
126,126
175,175
40,40
136,136
147,147
34,34
127,127
40,40
91,130
55,50
52,52
167,167
117,117
136,136
147,147
34,34
200,200
106,106
134,134
64,64
37,37
137,137
173,173
27,167
174,174
172,172
160,160
46,46
58,175
195,195
17,17
143,143
120,120
105,105
110,110
30,30
74,74
93,93
199,199
134,134
64,64
37,37
110,110
6,6
11,70
121,153
134,134
64,64
37,37
130,130
68,68
115,115
153,153
136,136
147,147
34,136
16,16
177,177
84,127
136,136
147,147
34,34
177,177
161,161
162,162
134,134
64,64
37,37
134,134
64,64
37,115
130,130
68,68
115,115
153,153
136,136
147,147
34,34
38,38
40,40
30,30
74,74
93,93
140,140
199,199
95,95
113,113
121,121
130,130
68,55
115,115
153,70
130,130
68,68
115,115
153,153
130,130
68,68
115,115
153,153
136,136
147,147
34,34
16,16
127,127
130,130
68,68
115,115
153,153
137,137
173,173
58,52
17,17
98,172
136,136
147,147
34,34
16,16
127,127
38,38
177,177
136,136
161,161
185,185
136,136
147,147
34,34
38,38
200,200
175,58
132,132
5,5
79,80
66,66
148,148
43,190
138,132
8,5
193,190
184,184
82,80
165,164
136,136
147,147
34,34
16,16
127,127
177,177
137,137
173,173
27,27
174,174
172,172
160,160
46,195
58,58
195,195
170,170
17,17
130,130
68,68
115,115
153,37
91,91
25,25
52,175
50,175
20,91
130,130
68,68
115,115
153,153
136,136
147,147
34,34
122,122
119,119
136,136
147,147
34,115
127,127
38,136
134,136
64,64
37,37
136,136
147,147
34,34
16,16
127,127
38,38
108,108
137,137
173,173
27,37
174,174
172,172
160,160
46,160
58,52
195,160
170,170
143,143
91,129
25,167
55,55
52,55
129,129
167,167
117,129
137,137
173,173
27,27
58,52
17,17
98,172
136,136
147,147
34,34
122,34
119,119
136,136
147,147
34,34
38,38
85,84
135,135
80,80
192,192
136,136
147,147
34,34
16,16
127,127
136,34
147,147
34,34
85,85
40,40
123,123
131,131
4,5
14,17
137,137
173,173
27,25
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,171
17,17
112,112
143,143
136,136
147,172
161,161
185,162
136,134
147,147
34,34
16,16
127,169
130,130
68,68
115,115
153,153
136,136
147,147
34,34
16,16
127,127
38,38
177,177
136,136
147,147
34,34
127,127
108,108
91,130
25,25
55,58
52,58
167,167
102,102
130,130
68,68
153,34
130,130
68,68
115,115
153,153
91,91
25,167
55,55
52,55
129,91
167,167
117,91
130,130
68,68
115,115
153,153
136,136
147,147
34,34
127,127
122,122
126,126
40,40
136,136
34,34
122,34
126,126
161,161
175,175
40,40
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,34
200,200
85,85
175,52
130,130
68,68
115,115
153,153
137,137
173,173
27,34
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,143
112,112
143,143
158,46
188,188
134,134
64,64
37,25
134,134
64,64
37,34
132,132
5,5
9,9
10,10
187,187
159,193
39,39
136,136
147,147
34,34
127,127
38,38
200,200
175,58
156,60
94,156
3,3
60,93
107,106
136,136
147,147
34,34
16,17
177,177
126,136
91,129
25,25
55,52
52,52
129,129
167,37
117,129
136,136
147,147
34,167
127,34
177,177
136,136
147,147
16,16
177,177
108,108
126,126
132,148
5,5
190,190
164,164
15,16
136,136
147,147
34,34
16,16
127,127
177,177
137,137
173,173
27,27
174,174
172,172
160,160
46,195
58,58
195,195
170,170
171,171
17,17
112,136
143,143
158,195
91,136
25,34
52,175
50,175
20,91
198,52
136,136
147,147
34,34
38,136
122,34
96,96
136,136
147,147
34,34
16,16
127,127
38,38
177,177
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
136,136
147,147
34,34
177,177
161,161
162,185
134,134
64,64
37,34
136,136
147,147
34,34
127,126
122,122
126,136
40,40
136,136
147,147
34,34
127,127
122,122
126,126
40,40
134,134
64,64
37,34
130,130
68,68
115,115
153,34
136,136
147,147
34,27
16,16
87,127
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
16,16
127,127
177,177
136,136
147,147
127,127
122,34
85,85
130,130
68,68
115,153
153,153
136,136
147,147
16,16
177,177
108,108
126,126
136,136
147,147
34,34
127,127
108,108
85,84
136,131
7,5
81,79
136,136
147,147
34,27
16,16
127,127
38,38
177,177
136,136
147,147
34,136
16,16
127,190
136,91
34,34
16,16
40,40
162,185
136,136
147,147
34,34
16,16
127,127
108,108
136,136
147,147
34,34
127,127
38,38
134,134
64,64
37,37
136,136
147,147
34,34
127,127
38,38
137,137
173,173
27,27
174,174
160,160
46,46
195,195
170,170
143,143
98,172
130,130
68,68
115,115
153,153
136,136
147,147
34,34
127,127
122,34
136,136
147,147
34,34
106,136
88,85
136,136
147,147
34,9
16,16
127,127
38,38
130,130
68,68
115,153
153,153
136,136
147,147
34,34
16,16
127,127
91,20
25,25
52,52
50,50
20,20
130,130
68,68
115,115
153,115
136,136
147,147
161,161
194,194
136,136
147,147
34,34
127,127
177,177
130,130
68,68
115,153
153,153
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
136,136
147,147
38,34
175,52
156,94
94,94
60,94
131,131
4,6
163,141
136,136
147,147
34,34
16,16
127,136
177,177
91,129
25,25
55,55
52,55
129,129
167,167
117,129
136,131
7,5
81,80
91,91
25,25
55,55
52,52
129,117
167,25
117,117
130,130
68,68
115,115
153,153
30,30
74,74
93,93
140,140
199,199
95,95
113,113
121,121
136,136
147,147
34,34
38,110
108,108
85,84
88,84
19,136
134,134
64,64
37,37
136,136
147,147
34,34
127,127
108,108
134,134
64,64
37,37
136,128
147,147
38,38
108,108
123,33
136,126
147,147
34,34
16,16
127,127
122,34
126,126
134,133
64,64
37,167
130,130
68,68
115,115
153,153
136,136
147,147
16,16
108,108
200,200
134,134
64,64
37,27
136,136
147,147
34,34
16,16
177,177
122,34
119,119
136,34
147,147
34,34
16,14
38,34
30,30
83,83
71,71
59,59
2,2
136,136
147,147
34,127
16,16
127,127
177,177
126,127
136,127
147,147
34,34
38,38
122,34
108,108
85,85
136,136
147,147
34,34
127,127
96,96
134,134
64,64
37,167
136,136
147,147
179,141
169,169
29,29
0,0
136,136
147,147
34,122
127,38
85,85
25,25
55,58
52,58
167,34
102,102
130,130
68,68
115,34
153,34
130,130
68,68
115,115
134,134
64,64
37,37
136,136
147,147
34,34
16,16
177,177
84,84
91,20
25,25
52,52
50,52
20,20
137,137
173,173
27,27
174,174
172,172
160,160
46,46
58,58
195,195
17,17
120,120
105,120
178,178
136,136
147,147
34,34
38,38
85,85
136,136
147,147
34,122
16,16
127,127
177,177
130,130
68,68
115,115
153,153
130,130
68,68
115,115
153,153
134,134
64,64
37,37
130,130
68,68
115,115
153,153
191,190
67,66
191,190
67,67
136,136
147,147
34,34
38,38
85,85
130,130
68,68
115,115
153,153
133,134
36,37
136,38
147,147
127,127
38,38
108,108
132,132
5,5
190,190
79,79
150,150
134,134
64,64
37,37
130,130
68,68
115,115
153,153
136,136
147,147
34,122
16,16
177,177
85,127
136,136
147,147
34,27
38,136
40,40
83,83
71,71
2,2
74,74
136,136
147,147
34,34
16,16
127,127
177,177
134,134
64,64
37,34
134,134
64,64
37,37
136,136
147,147
34,34
16,16
127,190
136,83
147,147
38,38
175,175
106,34
91,117
25,34
55,52
52,52
129,117
167,34
117,117
136,136
147,147
34,34
127,127
122,34
136,136
147,147
34,38
16,16
127,127
134,134
64,64
37,27
134,134
64,64
37,25
137,137
173,173
27,153
174,174
172,172
160,46
46,46
58,52
195,195
112,112
143,143
53,52
92,137
110,25
182,181
136,136
147,147
34,76
16,16
127,85
177,177
130,130
68,68
115,115
153,115
130,130
68,68
115,115
153,153
110,110
191,191
67,67
182,117
73,73
136,136
147,147
34,34
127,127
122,34
108,108
136,136
147,147
34,34
127,127
122,34
126,136
130,130
68,68
115,115
153,115
137,137
173,173
27,27
174,174
172,172
160,160
46,46
58,58
195,195
170,170
120,120
105,105
91,128
25,25
55,54
52,55
167,37
102,102
136,128
147,147
34,166
16,16
122,166
136,136
147,147
34,34
38,38
108,108
136,136
147,147
34,34
122,122
126,136
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
38,38
122,34
96,96
134,134
64,64
91,91
55,175
52,175
41,169
134,134
64,64
37,70
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
16,16
127,127
91,130
25,167
55,52
52,55
167,167
117,117
22,22
134,134
64,64
37,37
130,136
68,68
115,115
153,27
30,30
83,83
71,71
59,59
2,2
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,42
16,16
177,177
119,119
136,136
147,147
34,34
122,34
119,119
137,137
173,173
27,37
174,174
172,172
160,160
46,46
58,58
195,195
170,170
171,184
17,17
112,137
143,143
158,195
130,130
68,68
115,115
153,115
130,130
68,68
115,115
153,153
136,136
147,147
127,127
38,38
122,34
200,200
175,52
156,156
94,156
60,60
130,130
68,68
115,115
153,153
110,110
191,190
70,34
73,190
97,5
136,136
147,147
34,34
127,127
122,34
126,126
40,40
131,131
4,5
189,189
163,164
91,136
55,58
52,58
41,41
135,135
80,80
192,190
134,134
64,64
37,27
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
127,127
122,34
126,126
175,175
40,40
30,30
74,74
31,95
30,30
83,83
71,71
59,59
2,2
136,136
147,147
34,34
127,127
40,40
136,126
147,147
34,34
16,16
127,127
122,34
126,126
136,136
147,147
16,16
177,177
108,108
126,126
27,91
58,58
112,112
53,52
168,34
92,173
139,139
154,139
134,134
64,64
37,167
30,30
83,83
71,71
59,59
2,2
132,34
5,5
190,127
164,94
201,153
136,136
147,147
34,34
127,127
108,108
136,136
147,147
34,34
16,16
177,177
136,136
147,147
16,16
177,177
119,119
137,137
173,173
27,27
174,174
160,46
46,46
195,195
98,98
134,134
64,64
37,37
136,136
147,147
34,127
16,16
127,85
177,177
91,132
25,25
55,58
52,58
167,34
102,102
136,136
147,147
34,34
16,16
127,127
38,38
177,177
136,136
147,147
16,16
38,38
177,177
137,137
173,143
27,27
172,172
170,170
112,137
137,137
173,173
27,27
174,174
172,172
160,160
46,46
58,175
195,195
170,170
171,171
17,17
112,112
120,120
105,120
136,136
147,147
42,108
136,38
147,147
34,34
127,127
38,127
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,34
127,85
88,84
30,30
59,59
91,130
25,25
55,52
52,52
129,130
167,25
117,130
136,136
147,147
34,115
16,16
127,127
137,137
174,174
160,160
46,46
98,172
136,136
147,147
34,34
16,16
127,127
91,129
25,25
55,52
52,52
129,129
167,25
117,129
130,130
68,68
115,115
153,153
91,130
25,167
55,55
52,52
129,130
167,167
117,130
132,135
5,4
190,190
164,164
66,67
136,136
147,147
34,34
84,85
179,169
136,136
147,147
34,34
16,16
177,177
88,127
136,136
147,147
34,34
127,127
108,108
137,137
173,173
174,174
172,172
160,160
46,160
195,160
170,170
112,112
91,117
25,25
55,52
52,52
129,117
167,37
117,117
30,30
83,83
71,71
59,59
2,2
137,137
173,173
27,167
160,160
46,160
58,175
17,16
98,172
130,130
68,68
115,115
153,153
136,136
147,147
34,34
16,16
127,127
136,136
147,147
34,27
127,127
108,108
136,136
147,147
34,34
16,16
127,127
25,25
55,55
52,55
167,115
102,102
