,cluster_id,Amount
21,5310,11
26,6559,9
78,16573,9
89,18496,9
102,20355,10
168,33292,9
192,36985,9
196,37366,14
198,37525,12
214,40711,9
223,42322,14
270,52738,9
287,58043,12
303,59874,10
344,70109,13
352,72374,10
375,76736,9
390,79412,15
403,82949,10
417,86013,9
440,90549,12
444,91259,10
446,91311,10
453,92482,11
504,102437,14
513,104343,11
578,118505,9
596,122470,11
613,127282,10
634,131823,12
645,133789,15
657,135583,18
668,138313,17
683,142569,10
684,142594,11
725,148199,24
727,148818,11
735,150322,13
740,150932,25
785,159911,18
814,166843,9
844,173314,11
846,173780,9
852,174327,11
861,175882,11
918,186753,15
927,188731,9
929,189001,10
963,196226,13
989,199882,9
997,200907,12
998,200956,19
1007,202369,10
1121,226659,30
1122,227231,10
1144,229959,9
1163,233029,10
1165,233251,10
1177,235500,9
1192,237888,17
1193,238487,9
1202,239807,14
1203,240037,12
1204,240344,9
1214,242029,9
1265,252786,9
1331,266454,14
1365,274666,10
1380,278426,9
1383,279181,18
1408,286763,14
1411,286978,14
1430,291742,9
1443,293071,12
1498,303837,13
1519,308891,14
1524,310409,17
1539,312823,10
1574,319032,10
1633,329538,135
1638,329918,14
1640,330408,12
1642,330722,25
1788,357897,17
1804,361089,10
1810,363117,14
1860,371522,16
1874,374377,9
1900,379273,10
1960,390077,19
1968,391605,16
1984,395704,13
2008,399944,9
2065,414408,14
2066,414741,11
2101,419343,9
2111,421372,12
2132,427151,10
2146,430260,13
2149,430641,9
2151,431394,10
2166,434734,53
2216,445069,11
2289,460979,9
2298,463374,9
2314,466030,13
2315,466032,13
2452,494293,10
2484,502040,16
2527,509995,9
2575,520275,11
2592,524266,10
2596,525149,17
2606,527917,110
2609,528177,10
2616,529356,14
2625,531122,17
2636,534396,9
2714,555363,9
2723,556904,12
2762,564627,16
2783,569974,9
2784,570162,14
2789,571100,10
2802,573556,13
2803,573984,10
2847,583922,9
2849,584195,27
2863,587935,13
2957,607604,12
2958,607611,9
2991,615133,17
2995,616115,9
3119,641714,21
3125,642930,9
3153,651261,14
3237,668889,13
3281,677207,11
3332,688390,12
3363,694674,9
3412,704027,11
3457,713710,9
3481,718959,36
3487,719750,10
3524,727674,13
3582,740093,10
3658,757580,13
3761,776312,9
3780,780694,9
3878,800686,12
3949,815038,12
3972,820739,18
4035,834201,11
4104,851362,11
4207,877254,12
4208,878031,24
4222,880489,9
4223,881202,11
4243,885565,15
4249,887018,11
4275,892756,10
4291,895708,11
4348,906656,11
4353,908383,22
4358,909133,10
4411,923455,9
4422,926368,12
4447,931245,10
4472,936173,13
4485,939889,11
4486,939973,14
4501,942400,12
