,cluster_id,Amount
7,1040,21
26,6076,19
27,6443,25
29,6505,16
30,6690,20
40,7366,17
49,9046,21
93,14418,25
111,16617,19
124,18640,49
152,23343,18
182,28307,36
205,31649,20
210,32592,16
214,33570,16
235,35876,25
245,37409,28
254,39040,17
280,45122,26
312,51314,17
324,55262,16
329,56116,24
349,59131,16
350,59744,17
354,60591,18
381,65412,21
398,68127,17
492,81537,22
507,84143,17
553,94055,20
564,96277,268
575,99153,29
597,102179,21
673,118048,18
749,131092,29
798,138313,17
817,141225,24
829,143178,21
834,144134,20
836,144446,27
840,144625,19
863,149870,16
867,150211,47
892,153965,16
968,167029,19
988,171234,19
995,172208,17
1013,175891,18
1026,177630,27
1039,179929,16
1052,182246,16
1063,184777,314
1080,187372,23
1085,187983,19
1107,192122,18
1135,197396,30
1149,200188,16
1161,201669,16
1171,202726,16
1201,208851,34
1212,211698,18
1221,213315,18
1237,215254,16
1245,216453,17
1277,222939,18
1287,224590,16
1342,236124,18
1359,238935,43
1394,244025,119
1407,246990,51
1437,251884,34
1481,262287,16
1490,263377,17
1554,272947,16
1610,281761,24
1627,286604,16
1763,309625,61
1779,311408,16
1784,311889,56
1786,312273,24
1808,316284,21
1851,323368,69
1857,324185,19
1902,331076,25
1928,336149,20
1985,346249,16
1997,350379,18
2041,357897,17
2092,366975,17
2107,370941,33
2134,377198,17
2233,395671,22
2240,397340,19
2268,405527,16
2323,417279,23
2383,430136,16
2505,454837,18
2588,469648,64
2664,485512,17
2694,491900,38
2747,503388,17
2776,509165,46
2781,510345,17
2805,515456,18
2810,516888,17
2861,526181,16
2895,532824,16
2939,541658,32
2965,547730,17
2977,549556,20
2989,552110,25
2994,553509,16
2998,554860,22
3041,562955,23
3066,570054,17
3168,589118,19
3169,589459,17
3175,590113,21
3181,591684,16
3186,593420,71
3220,600823,17
3314,617064,18
3333,620473,74
3354,623318,24
3362,625719,22
3420,636016,18
3487,649938,16
3636,678357,119
3669,685416,27
3757,704991,35
3842,718959,36
3844,719434,16
3912,730377,27
3932,733504,25
3956,740038,39
4045,758572,23
4080,767463,17
4097,771969,20
4105,773766,22
4135,779562,17
4153,784315,22
4175,788533,17
4226,797707,33
4334,823674,20
4379,830362,17
4405,835420,30
4409,836946,32
4471,848041,25
4551,863679,25
4587,872388,19
4608,878031,24
4628,884374,18
4647,887937,32
4689,894987,21
4788,918378,18
4860,932920,31
4871,936098,22
4887,941003,26
4920,948163,19
5018,971411,16
5073,984421,19
5139,1001446,19
5161,1006110,33
5225,1022934,16
5235,1025263,17
5399,1063839,26
5519,1092304,64
5587,1107237,36
5627,1116960,68
5695,1133869,18
5807,1163590,16
5809,1163995,29
5811,1164258,20
5915,1187164,33
6074,1223297,21
6198,1257145,27
6287,1282518,27
6386,1306208,23
6441,1317579,69
6540,1341098,56
6645,1367307,26
6675,1375374,19
6703,1381570,38
6772,1403844,19
6807,1414015,16
6814,1415387,19
6829,1417835,25
6904,1437369,23
6945,1447785,18
6969,1453810,25
7070,1477658,19
7186,1506131,26
7193,1508334,16
7240,1519317,27
7260,1523866,141
7266,1524820,95
7335,1543882,62
7336,1544267,21
7348,1546279,27
7397,1558512,17
7417,1563825,17
7418,1563974,20
7427,1566090,177
7486,1579130,31
7569,1603832,56
7593,1609881,68
7616,1617106,20
7617,1617128,17
7627,1622075,24
7643,1627512,16
7661,1634380,31
7811,1672862,21
7819,1673941,17
7856,1683932,16
8051,1738768,60
8122,1757424,17
8204,1774915,36
8246,1791162,17
8318,1808651,16
8356,1819249,24
8411,1830341,19
8474,1850486,28
8554,1874288,71
8630,1895164,17
8706,1916266,20
8864,1961922,25
8889,1972757,36
8909,1979763,23
9147,2047025,17
9228,2072877,58
9317,2101461,23
9346,2108868,16
9708,2210413,17
9792,2235363,16
9819,2241022,27
10004,2294669,39
10022,2299744,37
10045,2305980,23
10070,2313137,34
10245,2374515,17
10460,2434654,46
10530,2456244,55
10581,2472326,34
10612,2480780,16
10950,2587857,17
11074,2621903,33
11434,2737923,46
11461,2751278,28
11506,2767770,17
11599,2799276,22
11646,2810685,34
11692,2825229,24
11747,2841516,18
11756,2843033,39
11768,2848082,29
11806,2859551,21
11887,2887810,23
12615,3133321,130
12836,3196849,20
12848,3200360,58
12957,3239788,17
13122,3295040,35
13210,3329047,24
13389,3387000,69
13585,3455275,24
13867,3555009,77
14123,3654815,58
14384,3756053,59
14439,3777752,16
15135,4044656,16
15271,4097992,26
15424,4153509,39
15671,4244020,59
15733,4265712,16
15934,4336479,58
16196,4442607,63
16335,4494482,83
16857,4703691,17
16875,4710012,49
17041,4770774,35
17567,4984787,33
17815,5085382,60
17823,5087625,31
17843,5096113,70
17905,5121322,2600
18415,5327857,56
18559,5390827,18
18643,5417991,35
19000,5564902,32
19492,5763017,16
20074,5991733,37
20922,6360172,63
21072,6423464,1058
21290,6518891,60
21968,6813704,67
22749,7470275,26
22989,7627158,40
23006,7634048,68
23398,7915272,55
23460,7950390,40
23508,7999424,21
23552,8038292,32
24007,8344921,76
24009,8346889,67
24145,8465389,67
24775,8919941,23
25126,9247611,70
25127,9247616,73
25508,9542224,73
25878,9815695,27
30595,13489629,48
31238,14023385,32
31239,14023411,32
31256,14040553,61
32227,14744313,33
35459,17259988,66
35460,17260023,64
37129,18582393,58
37923,19237527,64
37924,19237530,74
41642,22374888,19
41643,22374889,16
41644,22374893,17
41645,22374900,18
41646,22374911,16
41648,22374915,16
41649,22374917,17
41650,22374918,16
43083,23571287,72
43084,23571303,73
43697,24151972,57
43698,24151974,74
45899,26037737,76
49348,28526191,58
49630,28738402,70
52291,30761228,50
52292,30761262,43
52295,30762035,46
53196,31546467,81
54598,32668301,69
55852,33836444,74
56761,34506054,21
56762,34506056,22
56763,34506058,18
56766,34506065,16
58117,35789968,42
59353,36811034,637
59920,37318510,50
60905,38004635,38
60906,38004808,31
62392,39329070,30
63590,40404494,61
64526,41286468,53
64726,41451454,45
65328,41983895,58
65643,42279065,70
66132,42728479,50
66487,43056307,66
66490,43057512,48
68576,44767092,63
69216,45305942,982
69941,45806390,17
69943,45808710,19
70465,46210013,49
70466,46210020,50
71621,47194986,72
71645,47218391,52
71647,47219459,57
71824,47373698,49
72362,47841827,18
72590,48051979,17
75011,50018029,58
75069,50071753,24
76241,50977907,47
77901,52362093,21
77942,52409061,68
79052,53406099,47
79142,53457772,62
79980,54288624,19
80166,54478063,35
80167,54478079,41
80669,54954636,74
